elapsed_s,ours_cut_pattern_types,ours_demand_length,ours_status,ours_used_length,ours_util_rate,ours_verified,ours_weld_pattern_types,ours_welding_joints,problem_no,spec,sw_cut_pattern_types,sw_demand_length,sw_used_length,sw_util_rate,sw_weld_joints_recomputed,sw_weld_pattern_types,sw_welding_joints
19.27,9,262600,RCG_TARGET_REACHED,263850,0.9952624597309078,True,8,22,SubProblem8,SA-213TP310HCbN/51x9.5,6,262600.0,263850.0,0.995262444,31,3,31.0
0.05,1,9950,RCG_TARGET_REACHED,10000,0.995,True,1,0,SubProblem0,SA-213T92/45x12,1,9950.0,10000.0,0.995000005,0,0,0.0
0.09,0,29224,UNSOLVED,0,0.0,True,0,0,SubProblem6,SA-213T92/51x13,0,,,,0,0,
7.62,7,80800,RCG_FEASIBLE,82000,0.9853658536585366,True,7,6,SubProblem0,SA-213S30432/45x9,4,80800.0,82000.0,0.985365868,0,0,14.0
0.3,5,298716,RCG_FEASIBLE,316500,0.9438104265402844,True,1,0,SubProblem0,SA-210C/57x4,4,298716.0,314600.0,0.949510515,0,0,0.0
13.28,19,379782,RCG_TARGET_REACHED,381300,0.9960188827694728,True,13,30,SubProblem0,SA-213S30432/45x12,4,379782.0,394100.0,0.963669121,26,2,26.0
0.3,5,298716,RCG_FEASIBLE,316500,0.9438104265402844,True,1,0,SubProblem0,SA-210C/57x4,4,298716.0,314600.0,0.949510515,0,0,0.0
18.88,16,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,10,90,SubProblem4,SA-213TP310HCbN/45x12,8,883116.0,887600.0,0.994948149,78,4,78.0
15.17,20,525200,RCG_TARGET_REACHED,526800,0.996962794229309,True,19,40,SubProblem5,SA-213TP310HCbN/45x9,6,525200.0,526800.0,0.996962786,44,5,44.0
29.97,29,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,16,95,SubProblem4,SA-213TP310HCbN/45x12,8,883116.0,887600.0,0.994948149,78,4,78.0
18.36,20,525200,RCG_TARGET_REACHED,526800,0.996962794229309,True,19,40,SubProblem5,SA-213TP310HCbN/45x9,6,525200.0,526800.0,0.996962786,44,5,44.0
13.19,0,450086,UNSOLVED,0,0.0,True,0,0,SubProblem7,SA-213TP310HCbN/51x13,8,450086.0,453120.0,0.993304193,44,3,44.0
17.25,14,262600,RCG_TARGET_REACHED,263850,0.9952624597309078,True,12,22,SubProblem8,SA-213TP310HCbN/51x9.5,6,262600.0,263850.0,0.995262444,31,3,31.0
0.05,1,9950,RCG_TARGET_REACHED,10000,0.995,True,1,0,SubProblem0,SA-213T92/45x12,1,9950.0,10000.0,0.995000005,0,1,0.0
19.78,16,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,10,90,SubProblem4,SA-213TP310HCbN/45x12,8,883116.0,887600.0,0.994948149,78,4,78.0
15.3,20,525200,RCG_TARGET_REACHED,526800,0.996962794229309,True,19,40,SubProblem5,SA-213TP310HCbN/45x9,6,525200.0,526800.0,0.996962786,44,5,44.0
16.81,14,262600,RCG_TARGET_REACHED,263850,0.9952624597309078,True,12,22,SubProblem8,SA-213TP310HCbN/51x9.5,6,262600.0,263850.0,0.995262444,31,3,31.0
15.42,14,759564,RCG_TARGET_REACHED,765300,0.9925049000392003,True,10,60,SubProblem0,SA-213S30432/45x12,4,379782.0,394100.0,0.963669121,26,2,26.0
11.16,16,474700,RCG_TARGET_REACHED,478000,0.9930962343096235,True,13,35,SubProblem1,SA-213S30432/45x9,6,262600.0,274000.0,0.95839417,26,3,26.0
17.89,8,883116,RCG_TARGET_REACHED,887600,0.9949481748535376,True,6,68,SubProblem3,SA-213TP310HCbN/45x12,5,883116.0,887600.0,0.994948149,78,2,78.0
